id,company_name,product_name,composition,highest_similarity_ids
889,SHISEIDO,スキンリメイカー ポアカバー オークル10,"タルク,トリエチルヘキサノイン,ミリスチン酸亜鉛,メトキシケイヒ酸エチルヘキシル,ポリメタクリル酸メチル,（ビニルジメチコン／メチコンシルセスキオキサン）クロスポリマー,合成ワックス,ジメチコン,メチコン,セスキイソステアリン酸ソルビタン,ステアリン酸Ｃａ,水酸化Ａｌ,ジステアリン酸Ａｌ,ワセリン,ミリスチン酸,（ジメチコン／メチコン）コポリマー,シリカ,水酸化Ｃａ,クエン酸,トコフェロール,リン酸Ｎａ,ＢＨＴ,クロルフェネシン,マイカ,合成金雲母,酸化チタン,酸化鉄,酸化亜鉛商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","1036, 1035, 1034"
890,SHISEIDO,スキンリメイカー ポアカバー オークル20,"タルク,トリエチルヘキサノイン,ミリスチン酸亜鉛,メトキシケイヒ酸エチルヘキシル,ポリメタクリル酸メチル,（ビニルジメチコン／メチコンシルセスキオキサン）クロスポリマー,合成ワックス,ジメチコン,メチコン,セスキイソステアリン酸ソルビタン,ステアリン酸Ｃａ,水酸化Ａｌ,ジステアリン酸Ａｌ,ワセリン,ミリスチン酸,（ジメチコン／メチコン）コポリマー,シリカ,水酸化Ｃａ,クエン酸,トコフェロール,リン酸Ｎａ,ＢＨＴ,クロルフェネシン,マイカ,合成金雲母,酸化チタン,酸化鉄,酸化亜鉛商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","1036, 1035, 1034"
905,SHISEIDO,トランスルーセント ルース セッティング パウダー ライトキャッチャー 01 CELESTIAL LIGHT,"タルク,合成フルオロフロゴパイト,ミリスチン酸Ｍｇ,ナイロン－１２,トリ（カプリル酸／カプリン酸）グリセリル,パルミチン酸エチルヘキシル,コーンスターチ,フェノキシエタノール,カプリリルグリコール,デヒドロ酢酸Ｎａ,ラウロイルリシン,ポリメタクリル酸メチル,メチコン,酸化スズ,ダイズ油,トコフェロール,マイカ,酸化チタン,酸化鉄,カルミン商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","465, 84, 83"
919,SHISEIDO,モイストパクトEX オークル10,"タルク,酸化チタン,メトキシケイヒ酸エチルヘキシル,酸化亜鉛,焼成セリサイト,シリカ,オキシ塩化ビスマス,ナイロン－１２,リンゴ酸ジイソステアリル,（ビニルジメチコン／メチコンシルセスキオキサン）クロスポリマー,カルボキシデシルトリシロキサン,（ジフェニルジメチコン／ビニルジフェニルジメチコン／シルセスキオキサン）クロスポリマー,ジフェニルシロキシフェニルトリメチコン,カニナバラ果実油,ヒアルロン酸Ｎａ,ジパルミチン酸アスコルビル,ジメチコン,セスキイソステアリン酸ソルビタン,水酸化Ａｌ,（ステアロキシメチコン／ジメチコン）コポリマー,ステアリン酸,メチコン,塩化亜鉛,合成ワックス,トリエトキシシリルエチルポリジメチルシロキシエチルヘキシルジメチコン,ケイ酸（Ｌｉ／Ｍｇ／Ｎａ）,テトラヒドロテトラメチルシクロテトラシロキサン,グリセリン,トコフェロール,ハイドロゲンジメチコン,ＢＨＴ,テトラデセン,アルミナ,クロルフェネシン,マイカ,酸化鉄,硫酸Ｂａ商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","1026, 1025, 1024"
920,SHISEIDO,モイストパクトEX オークル20,"タルク,酸化チタン,メトキシケイヒ酸エチルヘキシル,酸化亜鉛,焼成セリサイト,シリカ,オキシ塩化ビスマス,ナイロン－１２,リンゴ酸ジイソステアリル,（ビニルジメチコン／メチコンシルセスキオキサン）クロスポリマー,カルボキシデシルトリシロキサン,（ジフェニルジメチコン／ビニルジフェニルジメチコン／シルセスキオキサン）クロスポリマー,ジフェニルシロキシフェニルトリメチコン,カニナバラ果実油,ヒアルロン酸Ｎａ,ジパルミチン酸アスコルビル,ジメチコン,セスキイソステアリン酸ソルビタン,水酸化Ａｌ,（ステアロキシメチコン／ジメチコン）コポリマー,ステアリン酸,メチコン,塩化亜鉛,合成ワックス,トリエトキシシリルエチルポリジメチルシロキシエチルヘキシルジメチコン,ケイ酸（Ｌｉ／Ｍｇ／Ｎａ）,テトラヒドロテトラメチルシクロテトラシロキサン,グリセリン,トコフェロール,ハイドロゲンジメチコン,ＢＨＴ,テトラデセン,アルミナ,クロルフェネシン,マイカ,酸化鉄,硫酸Ｂａ商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","1026, 1025, 1024"
921,SHISEIDO,モイストパクトEX オークル30,"タルク,酸化チタン,メトキシケイヒ酸エチルヘキシル,酸化亜鉛,焼成セリサイト,シリカ,オキシ塩化ビスマス,ナイロン－１２,リンゴ酸ジイソステアリル,（ビニルジメチコン／メチコンシルセスキオキサン）クロスポリマー,カルボキシデシルトリシロキサン,（ジフェニルジメチコン／ビニルジフェニルジメチコン／シルセスキオキサン）クロスポリマー,ジフェニルシロキシフェニルトリメチコン,カニナバラ果実油,ヒアルロン酸Ｎａ,ジパルミチン酸アスコルビル,ジメチコン,セスキイソステアリン酸ソルビタン,水酸化Ａｌ,（ステアロキシメチコン／ジメチコン）コポリマー,ステアリン酸,メチコン,塩化亜鉛,合成ワックス,トリエトキシシリルエチルポリジメチルシロキシエチルヘキシルジメチコン,ケイ酸（Ｌｉ／Ｍｇ／Ｎａ）,テトラヒドロテトラメチルシクロテトラシロキサン,グリセリン,トコフェロール,ハイドロゲンジメチコン,ＢＨＴ,テトラデセン,アルミナ,クロルフェネシン,マイカ,酸化鉄,硫酸Ｂａ商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","1026, 1025, 1024"
922,SHISEIDO,モイストパクトEX ピンクオークル10,"タルク,酸化チタン,メトキシケイヒ酸エチルヘキシル,酸化亜鉛,焼成セリサイト,シリカ,オキシ塩化ビスマス,ナイロン－１２,リンゴ酸ジイソステアリル,（ビニルジメチコン／メチコンシルセスキオキサン）クロスポリマー,カルボキシデシルトリシロキサン,（ジフェニルジメチコン／ビニルジフェニルジメチコン／シルセスキオキサン）クロスポリマー,ジフェニルシロキシフェニルトリメチコン,カニナバラ果実油,ヒアルロン酸Ｎａ,ジパルミチン酸アスコルビル,ジメチコン,セスキイソステアリン酸ソルビタン,水酸化Ａｌ,（ステアロキシメチコン／ジメチコン）コポリマー,ステアリン酸,メチコン,塩化亜鉛,合成ワックス,トリエトキシシリルエチルポリジメチルシロキシエチルヘキシルジメチコン,ケイ酸（Ｌｉ／Ｍｇ／Ｎａ）,テトラヒドロテトラメチルシクロテトラシロキサン,グリセリン,トコフェロール,ハイドロゲンジメチコン,ＢＨＴ,テトラデセン,アルミナ,クロルフェネシン,マイカ,酸化鉄,硫酸Ｂａ商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","1026, 1025, 1024"
967,SHISEIDO,プレミアムパクト オークル10,"タルク,酸化チタン,窒化ホウ素,メトキシケイヒ酸エチルヘキシル,ナイロン－１２,ジメチコン,トリエチルヘキサノイン,（ビニルジメチコン／メチコンシルセスキオキサン）クロスポリマー,（ジフェニルジメチコン／ビニルジフェニルジメチコン／シルセスキオキサン）クロスポリマー,ホウケイ酸（Ｃａ／Ａｌ）,アルガニアスピノサ核油,ヒアルロン酸Ｎａ,水酸化Ａｌ,トリエトキシシリルエチルポリジメチルシロキシエチルヘキシルジメチコン,ステアリン酸,ハイドロゲンジメチコン,テトラヒドロテトラメチルシクロテトラシロキサン,ケイ酸（Ｌｉ／Ｍｇ／Ｎａ）,テトラデセン,グリセリン,トコフェロール,ジカプリン酸ネオペンチルグリコール,ＢＨＴ,アルミナ,クロルフェネシン,合成金雲母鉄,合成金雲母,マイカ,酸化鉄,硫酸Ｂａ商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","922, 921, 920"
968,SHISEIDO,プレミアムパクト オークル20,"タルク,酸化チタン,窒化ホウ素,メトキシケイヒ酸エチルヘキシル,ナイロン－１２,ジメチコン,トリエチルヘキサノイン,（ビニルジメチコン／メチコンシルセスキオキサン）クロスポリマー,（ジフェニルジメチコン／ビニルジフェニルジメチコン／シルセスキオキサン）クロスポリマー,ホウケイ酸（Ｃａ／Ａｌ）,アルガニアスピノサ核油,ヒアルロン酸Ｎａ,水酸化Ａｌ,トリエトキシシリルエチルポリジメチルシロキシエチルヘキシルジメチコン,ステアリン酸,ハイドロゲンジメチコン,テトラヒドロテトラメチルシクロテトラシロキサン,ケイ酸（Ｌｉ／Ｍｇ／Ｎａ）,テトラデセン,グリセリン,トコフェロール,ジカプリン酸ネオペンチルグリコール,ＢＨＴ,アルミナ,クロルフェネシン,合成金雲母鉄,合成金雲母,マイカ,酸化鉄,硫酸Ｂａ商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","922, 921, 920"
969,SHISEIDO,プレミアムパクト オークル30,"タルク,酸化チタン,窒化ホウ素,メトキシケイヒ酸エチルヘキシル,ナイロン－１２,ジメチコン,トリエチルヘキサノイン,（ビニルジメチコン／メチコンシルセスキオキサン）クロスポリマー,（ジフェニルジメチコン／ビニルジフェニルジメチコン／シルセスキオキサン）クロスポリマー,ホウケイ酸（Ｃａ／Ａｌ）,アルガニアスピノサ核油,ヒアルロン酸Ｎａ,水酸化Ａｌ,トリエトキシシリルエチルポリジメチルシロキシエチルヘキシルジメチコン,ステアリン酸,ハイドロゲンジメチコン,テトラヒドロテトラメチルシクロテトラシロキサン,ケイ酸（Ｌｉ／Ｍｇ／Ｎａ）,テトラデセン,グリセリン,トコフェロール,ジカプリン酸ネオペンチルグリコール,ＢＨＴ,アルミナ,クロルフェネシン,合成金雲母鉄,合成金雲母,マイカ,酸化鉄,硫酸Ｂａ商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。","922, 921, 920"
