id,company_name,product_name,composition
482,SHISEIDO,フローレス フュージョン ウルトラ ロングウェア コンシーラー 3W,"水,シクロペンタシロキサン,イソドデカン,グリセリン,セチルＰＥＧ／ＰＰＧ－１０／１ジメチコン,ＢＧ,ウンデシレン酸ヘプチル,フェニルトリメチコン,トリメチルシロキシケイ酸,ジヘプタン酸ネオペンチルグリコール,ビス（ＰＥＧ／ＰＰＧ－１４／１４）ジメチコン,シリカ,クオタニウム－９０ベントナイト,（アクリレーツ／メタクリル酸アルキル（Ｃ１２－２２））コポリマー,トリベヘニン,窒化ホウ素,硫酸Ｍｇ,ジイソステアリン酸ポリグリセリル－３,フェノキシエタノール,レシチン,ラウレス－７,炭酸プロピレン,ジミリスチン酸Ａｌ,トリエトキシカプリリルシラン,カプリリルグリコール,ＥＤＴＡ－３Ｎａ,ペンチレングリコール,ステアロイルグルタミン酸２Ｎａ,クロルフェネシン,（ジメチコン／ビニルジメチコン）クロスポリマー,アスコルビルグルコシド,シルク,マイカ,酸化チタン,酸化鉄商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。"
571,SHISEIDO,コンシーラー ライトベージュ,"オレフィンオリゴマー,シクロメチコン,水添ポリイソブテン,カオリン,パラフィン,ポリメチルシルセスキオキサン,ポリエチレン,セスキイソステアリン酸ソルビタン,カルナウバロウ,ヒアルロン酸Ｎａ,マイクロクリスタリンワックス,メチコン,ケイ酸（Ｎａ／Ｍｇ）,グリセリン,トコフェロール,ＢＨＴ,酸化チタン,マイカ,酸化鉄商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。"
572,SHISEIDO,コンシーラー ナチュラルベージュ,"オレフィンオリゴマー,シクロメチコン,水添ポリイソブテン,カオリン,パラフィン,ポリメチルシルセスキオキサン,ポリエチレン,セスキイソステアリン酸ソルビタン,カルナウバロウ,ヒアルロン酸Ｎａ,マイクロクリスタリンワックス,メチコン,ケイ酸（Ｎａ／Ｍｇ）,グリセリン,トコフェロール,ＢＨＴ,酸化チタン,マイカ,酸化鉄商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。"
573,SHISEIDO,シークレット カモフラージュ ブライト アンド コレクト デュオ 0 5N,"CORRECTネオペンタン酸イソデシル,ポリメチルシルセスキオキサン,ポリエチレン,ジ（カプリル酸／カプリン酸）ＰＧ,（ＨＤＩ／トリメチロールヘキシルラクトン）クロスポリマー,イソノナン酸イソノニル,リン酸２Ｃａ,合成ワックス,オクチルドデカノール,トリ（カプリル酸／カプリン酸）グリセリル,ポリヒドロキシステアリン酸,ハス花エキス,フィトスフィンゴシン,アルキル（Ｃ３０－４５）ジメチコン,（ジメチコン／ビニルジメチコン）クロスポリマー,イソステアリン酸,セチルジメチコン,ジメチコン,ジステアルジモニウムヘクトライト,テトラ（ジ－ｔ－ブチルヒドロキシヒドロケイヒ酸）ペンタエリスリチル,レシチン,ポリリシノレイン酸ポリグリセリル－３,水酸化Ａｌ,炭酸プロピレン,ラウレス－４,酸化チタン,酸化鉄,青１BRIGHTENジメチコン,スクワラン,フェニルトリメチコン,合成ワックス,オクチルドデカノール,トリ（カプリル酸／カプリン酸）グリセリル,ヘキサ（ヒドロキシステアリン酸／ステアリン酸／ロジン酸）ジペンタエリスリチル,ヘキサヒドロキシステアリン酸ジペンタエリスリチル,カルナウバロウ,ジステアルジモニウムヘクトライト,ポリエチレン,アストロカリウムムルムル種子脂,変性アルコール,炭酸プロピレン,水酸化Ａｌ,テトラ（ジ－ｔ－ブチルヒドロキシヒドロケイヒ酸）ペンタエリスリチル,水,リン酸２Ｃａ,ジアセチルボルジン,トコフェロール,酸化チタン,マイカ,酸化鉄,青１商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。"
574,SHISEIDO,シークレット カモフラージュ ブライト アンド コレクト デュオ 1C,"CORRECTネオペンタン酸イソデシル,ポリメチルシルセスキオキサン,ポリエチレン,ジ（カプリル酸／カプリン酸）ＰＧ,（ＨＤＩ／トリメチロールヘキシルラクトン）クロスポリマー,イソノナン酸イソノニル,リン酸２Ｃａ,合成ワックス,オクチルドデカノール,トリ（カプリル酸／カプリン酸）グリセリル,ポリヒドロキシステアリン酸,ハス花エキス,フィトスフィンゴシン,アルキル（Ｃ３０－４５）ジメチコン,（ジメチコン／ビニルジメチコン）クロスポリマー,イソステアリン酸,セチルジメチコン,ジメチコン,ジステアルジモニウムヘクトライト,テトラ（ジ－ｔ－ブチルヒドロキシヒドロケイヒ酸）ペンタエリスリチル,レシチン,ポリリシノレイン酸ポリグリセリル－３,水酸化Ａｌ,炭酸プロピレン,ラウレス－４,酸化チタン,酸化鉄,青１BRIGHTENジメチコン,スクワラン,フェニルトリメチコン,合成ワックス,オクチルドデカノール,トリ（カプリル酸／カプリン酸）グリセリル,ヘキサ（ヒドロキシステアリン酸／ステアリン酸／ロジン酸）ジペンタエリスリチル,ヘキサヒドロキシステアリン酸ジペンタエリスリチル,カルナウバロウ,ジステアルジモニウムヘクトライト,ポリエチレン,アストロカリウムムルムル種子脂,変性アルコール,炭酸プロピレン,水酸化Ａｌ,テトラ（ジ－ｔ－ブチルヒドロキシヒドロケイヒ酸）ペンタエリスリチル,水,リン酸２Ｃａ,ジアセチルボルジン,トコフェロール,酸化チタン,マイカ,酸化鉄,青１商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。"
575,SHISEIDO,シークレット カモフラージュ ブライト アンド コレクト デュオ 1N,"CORRECTネオペンタン酸イソデシル,ポリメチルシルセスキオキサン,ポリエチレン,ジ（カプリル酸／カプリン酸）ＰＧ,（ＨＤＩ／トリメチロールヘキシルラクトン）クロスポリマー,イソノナン酸イソノニル,リン酸２Ｃａ,合成ワックス,オクチルドデカノール,トリ（カプリル酸／カプリン酸）グリセリル,ポリヒドロキシステアリン酸,ハス花エキス,フィトスフィンゴシン,アルキル（Ｃ３０－４５）ジメチコン,（ジメチコン／ビニルジメチコン）クロスポリマー,イソステアリン酸,セチルジメチコン,ジメチコン,ジステアルジモニウムヘクトライト,テトラ（ジ－ｔ－ブチルヒドロキシヒドロケイヒ酸）ペンタエリスリチル,レシチン,ポリリシノレイン酸ポリグリセリル－３,水酸化Ａｌ,炭酸プロピレン,ラウレス－４,酸化チタン,酸化鉄,青１BRIGHTENジメチコン,スクワラン,フェニルトリメチコン,合成ワックス,オクチルドデカノール,トリ（カプリル酸／カプリン酸）グリセリル,ヘキサ（ヒドロキシステアリン酸／ステアリン酸／ロジン酸）ジペンタエリスリチル,ヘキサヒドロキシステアリン酸ジペンタエリスリチル,カルナウバロウ,ジステアルジモニウムヘクトライト,ポリエチレン,アストロカリウムムルムル種子脂,変性アルコール,炭酸プロピレン,水酸化Ａｌ,テトラ（ジ－ｔ－ブチルヒドロキシヒドロケイヒ酸）ペンタエリスリチル,水,リン酸２Ｃａ,ジアセチルボルジン,トコフェロール,酸化チタン,マイカ,酸化鉄,青１商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。"
576,SHISEIDO,シークレット カモフラージュ ブライト アンド コレクト デュオ 1W,"CORRECTネオペンタン酸イソデシル,ポリメチルシルセスキオキサン,ポリエチレン,ジ（カプリル酸／カプリン酸）ＰＧ,（ＨＤＩ／トリメチロールヘキシルラクトン）クロスポリマー,イソノナン酸イソノニル,リン酸２Ｃａ,合成ワックス,オクチルドデカノール,トリ（カプリル酸／カプリン酸）グリセリル,ポリヒドロキシステアリン酸,ハス花エキス,フィトスフィンゴシン,アルキル（Ｃ３０－４５）ジメチコン,（ジメチコン／ビニルジメチコン）クロスポリマー,イソステアリン酸,セチルジメチコン,ジメチコン,ジステアルジモニウムヘクトライト,テトラ（ジ－ｔ－ブチルヒドロキシヒドロケイヒ酸）ペンタエリスリチル,レシチン,ポリリシノレイン酸ポリグリセリル－３,水酸化Ａｌ,炭酸プロピレン,ラウレス－４,酸化チタン,酸化鉄,青１BRIGHTENジメチコン,スクワラン,フェニルトリメチコン,合成ワックス,オクチルドデカノール,トリ（カプリル酸／カプリン酸）グリセリル,ヘキサ（ヒドロキシステアリン酸／ステアリン酸／ロジン酸）ジペンタエリスリチル,ヘキサヒドロキシステアリン酸ジペンタエリスリチル,カルナウバロウ,ジステアルジモニウムヘクトライト,ポリエチレン,アストロカリウムムルムル種子脂,変性アルコール,炭酸プロピレン,水酸化Ａｌ,テトラ（ジ－ｔ－ブチルヒドロキシヒドロケイヒ酸）ペンタエリスリチル,水,リン酸２Ｃａ,ジアセチルボルジン,トコフェロール,酸化チタン,マイカ,酸化鉄,青１商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。"
577,SHISEIDO,シークレット カモフラージュ ブライト アンド コレクト デュオ 2C,"CORRECTネオペンタン酸イソデシル,ポリメチルシルセスキオキサン,ポリエチレン,ジ（カプリル酸／カプリン酸）ＰＧ,（ＨＤＩ／トリメチロールヘキシルラクトン）クロスポリマー,イソノナン酸イソノニル,リン酸２Ｃａ,合成ワックス,オクチルドデカノール,トリ（カプリル酸／カプリン酸）グリセリル,ポリヒドロキシステアリン酸,ハス花エキス,フィトスフィンゴシン,アルキル（Ｃ３０－４５）ジメチコン,（ジメチコン／ビニルジメチコン）クロスポリマー,イソステアリン酸,セチルジメチコン,ジメチコン,ジステアルジモニウムヘクトライト,テトラ（ジ－ｔ－ブチルヒドロキシヒドロケイヒ酸）ペンタエリスリチル,レシチン,ポリリシノレイン酸ポリグリセリル－３,水酸化Ａｌ,炭酸プロピレン,ラウレス－４,酸化チタン,酸化鉄,青１BRIGHTENジメチコン,スクワラン,フェニルトリメチコン,合成ワックス,オクチルドデカノール,トリ（カプリル酸／カプリン酸）グリセリル,ヘキサ（ヒドロキシステアリン酸／ステアリン酸／ロジン酸）ジペンタエリスリチル,ヘキサヒドロキシステアリン酸ジペンタエリスリチル,カルナウバロウ,ジステアルジモニウムヘクトライト,ポリエチレン,アストロカリウムムルムル種子脂,変性アルコール,炭酸プロピレン,水酸化Ａｌ,テトラ（ジ－ｔ－ブチルヒドロキシヒドロケイヒ酸）ペンタエリスリチル,水,リン酸２Ｃａ,ジアセチルボルジン,トコフェロール,酸化チタン,マイカ,酸化鉄,青１商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。"
578,SHISEIDO,シークレット カモフラージュ ブライト アンド コレクト デュオ 2N,"CORRECTネオペンタン酸イソデシル,ポリメチルシルセスキオキサン,ポリエチレン,ジ（カプリル酸／カプリン酸）ＰＧ,（ＨＤＩ／トリメチロールヘキシルラクトン）クロスポリマー,イソノナン酸イソノニル,リン酸２Ｃａ,合成ワックス,オクチルドデカノール,トリ（カプリル酸／カプリン酸）グリセリル,ポリヒドロキシステアリン酸,ハス花エキス,フィトスフィンゴシン,アルキル（Ｃ３０－４５）ジメチコン,（ジメチコン／ビニルジメチコン）クロスポリマー,イソステアリン酸,セチルジメチコン,ジメチコン,ジステアルジモニウムヘクトライト,テトラ（ジ－ｔ－ブチルヒドロキシヒドロケイヒ酸）ペンタエリスリチル,レシチン,ポリリシノレイン酸ポリグリセリル－３,水酸化Ａｌ,炭酸プロピレン,ラウレス－４,酸化チタン,酸化鉄,青１BRIGHTENジメチコン,スクワラン,フェニルトリメチコン,合成ワックス,オクチルドデカノール,トリ（カプリル酸／カプリン酸）グリセリル,ヘキサ（ヒドロキシステアリン酸／ステアリン酸／ロジン酸）ジペンタエリスリチル,ヘキサヒドロキシステアリン酸ジペンタエリスリチル,カルナウバロウ,ジステアルジモニウムヘクトライト,ポリエチレン,アストロカリウムムルムル種子脂,変性アルコール,炭酸プロピレン,水酸化Ａｌ,テトラ（ジ－ｔ－ブチルヒドロキシヒドロケイヒ酸）ペンタエリスリチル,水,リン酸２Ｃａ,ジアセチルボルジン,トコフェロール,酸化チタン,マイカ,酸化鉄,青１商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。"
579,SHISEIDO,シークレット カモフラージュ ブライト アンド コレクト デュオ 2W,"CORRECTネオペンタン酸イソデシル,ポリメチルシルセスキオキサン,ポリエチレン,ジ（カプリル酸／カプリン酸）ＰＧ,（ＨＤＩ／トリメチロールヘキシルラクトン）クロスポリマー,イソノナン酸イソノニル,リン酸２Ｃａ,合成ワックス,オクチルドデカノール,トリ（カプリル酸／カプリン酸）グリセリル,ポリヒドロキシステアリン酸,ハス花エキス,フィトスフィンゴシン,アルキル（Ｃ３０－４５）ジメチコン,（ジメチコン／ビニルジメチコン）クロスポリマー,イソステアリン酸,セチルジメチコン,ジメチコン,ジステアルジモニウムヘクトライト,テトラ（ジ－ｔ－ブチルヒドロキシヒドロケイヒ酸）ペンタエリスリチル,レシチン,ポリリシノレイン酸ポリグリセリル－３,水酸化Ａｌ,炭酸プロピレン,ラウレス－４,酸化チタン,酸化鉄,青１BRIGHTENジメチコン,スクワラン,フェニルトリメチコン,合成ワックス,オクチルドデカノール,トリ（カプリル酸／カプリン酸）グリセリル,ヘキサ（ヒドロキシステアリン酸／ステアリン酸／ロジン酸）ジペンタエリスリチル,ヘキサヒドロキシステアリン酸ジペンタエリスリチル,カルナウバロウ,ジステアルジモニウムヘクトライト,ポリエチレン,アストロカリウムムルムル種子脂,変性アルコール,炭酸プロピレン,水酸化Ａｌ,テトラ（ジ－ｔ－ブチルヒドロキシヒドロケイヒ酸）ペンタエリスリチル,水,リン酸２Ｃａ,ジアセチルボルジン,トコフェロール,酸化チタン,マイカ,酸化鉄,青１商品の改良や表示方法の変更などにより、実際の成分と一部異なる場合があります。実際の成分は商品の表示をご覧ください。"
